OGLE-GD-DSCT-0048,multimode,24:14.9,-65:09:03.9,16.321,17.213,0.892,0.10740154,0.08293447
OGLE-GD-DSCT-0050,singlemode,24:56.4,-64:50:24.5,19.507,21.3,1.793,0.08820131,-99.99
OGLE-GD-DSCT-0051,singlemode,26:17.0,-64:56:37.8,18.318,19.335,1.017,0.07421695,-99.99
OGLE-GD-DSCT-0052,singlemode,26:54.5,-64:49:38.4,15.113,16.16,1.047,0.15066459,-99.99
OGLE-GD-DSCT-0053,singlemode,31:06.6,-64:03:57.8,16.5,17.871,1.371,0.11445133,-99.99
OGLE-GD-DSCT-0054,multimode,31:36.0,-64:09:35.7,17.194,18.596,1.402,0.10993738,0.08538744
OGLE-GD-DSCT-0055,singlemode,32:43.9,-64:14:33.8,16.577,17.573,0.996,0.08397895,-99.99
OGLE-GD-DSCT-0057,singlemode,35:16.0,-64:26:35.6,15.056,15.99,0.934,0.12813888,-99.99
OGLE-GD-DSCT-0059,multimode,36:24.8,-63:09:03.3,15.9,16.689,0.789,0.12655899,0.12294179
OGLE-GD-DSCT-0060,singlemode,36:27.1,-62:35:08.1,15.048,16.041,0.993,0.1192126,-99.99
OGLE-GD-DSCT-0061,multimode,37:43.3,-62:46:50.9,14.54,15.217,0.677,0.05203801,0.05381609
OGLE-GD-DSCT-0062,multimode,38:51.5,-62:04:49.5,13.586,14.276,0.69,0.1854774,0.18471281
OGLE-GD-DSCT-0063,multimode,39:00.9,-63:11:04.0,14.269,15.102,0.833,0.16704644,0.15951962
OGLE-GD-DSCT-0064,multimode,40:31.5,-61:39:58.0,13.906,14.656,0.75,0.10539736,0.11644918
OGLE-GD-DSCT-0065,multimode,31:35.9,-60:47:45.1,14.142,14.925,0.783,0.13507031,0.14039034
OGLE-GD-DSCT-0066,multimode,33:28.1,-60:53:44.1,14.801,15.8,0.999,0.13396645,0.13842565
OGLE-GD-DSCT-0067,multimode,55:39.2,-62:05:11.6,14.095,14.874,0.779,0.11604143,0.06244649
OGLE-GD-DSCT-0068,multimode,56:12.9,-61:47:44.7,13.956,14.971,1.015,0.10428609,0.10745033
OGLE-GD-DSCT-0069,multimode,31:32.1,-64:06:46.4,15.053,16.288,1.235,0.08542011,0.21380354
OGLE-GD-DSCT-0070,singlemode,34:43.7,-64:02:48.1,15.132,16.277,1.145,0.12975255,-99.99
OGLE-GD-DSCT-0071,multimode,26:16.5,-64:55:40.0,15.553,16.692,1.139,0.1461025,0.11689411
OGLE-GD-DSCT-0072,singlemode,40:27.9,+17:41:24.3,13.311,13.932,0.621,0.05059416,-99.99
OGLE-GD-DSCT-0073,singlemode,41:22.8,+17:22:31.9,14.886,15.632,0.746,0.05155209,-99.99
OGLE-GD-DSCT-0074,singlemode,41:53.9,+17:44:50.8,15.989,16.763,0.774,0.0781398,-99.99
OGLE-GD-DSCT-0075,singlemode,43:40.1,+17:11:47.0,15.758,16.674,0.916,0.07786313,-99.99
OGLE-GD-DSCT-0076,singlemode,46:24.5,+16:29:39.9,15.43,16.166,0.736,0.12435512,-99.99
OGLE-GD-DSCT-0077,singlemode,46:45.9,+18:04:05.9,16.634,17.522,0.888,0.07011672,-99.99
OGLE-GD-DSCT-0078,multimode,46:55.2,+15:59:08.2,15.765,16.552,0.787,0.08503635,0.0659124
OGLE-GD-DSCT-0079,singlemode,46:57.4,+15:33:56.3,15.388,16.15,0.762,0.07301463,-99.99
OGLE-GD-DSCT-0080,singlemode,47:45.6,+16:38:29.6,16.037,16.791,0.754,0.07891854,-99.99
OGLE-GD-DSCT-0081,singlemode,47:58.3,+16:17:42.8,16.047,16.844,0.797,0.10116386,-99.99
OGLE-GD-DSCT-0082,singlemode,48:14.1,+18:12:35.7,15.201,16.063,0.862,0.07480784,-99.99
OGLE-GD-DSCT-0083,singlemode,48:39.5,+15:31:46.0,17.869,18.716,0.847,0.06758548,-99.99
OGLE-GD-DSCT-0084,singlemode,48:55.8,+18:08:06.9,16.595,17.461,0.866,0.07445955,-99.99
OGLE-GD-DSCT-0085,singlemode,49:47.8,+16:28:59.0,16.138,16.832,0.694,0.09499342,-99.99
OGLE-GD-DSCT-0086,singlemode,50:00.0,+17:09:53.8,15.306,16.055,0.749,0.07626717,-99.99
OGLE-GD-DSCT-0087,singlemode,50:08.0,+16:57:13.7,15.093,15.789,0.696,0.08514691,-99.99
OGLE-GD-DSCT-0088,multimode,50:20.2,+17:41:54.1,14.602,15.38,0.778,0.11091456,0.11224565
OGLE-GD-DSCT-0089,singlemode,50:32.1,+14:18:10.7,16.445,17.48,1.035,0.16619089,-99.99
OGLE-GD-DSCT-0090,singlemode,50:35.9,+17:48:07.3,15.098,15.822,0.724,0.07782023,-99.99
OGLE-GD-DSCT-0091,singlemode,50:49.4,+15:22:37.5,15.562,16.198,0.636,0.08474491,-99.99
OGLE-GD-DSCT-0092,singlemode,50:50.8,+15:32:16.1,13.542,14.22,0.678,0.08448489,-99.99
